TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,Season
Brooklyn Nets,1610612751,82,44,38,0.537,3951.0,111.0,109.6,1.3,101.6,18.3,0.239,0.751,0.502,0.138,1,14,14,14,19,13,15,15,9,10,25,14,18,10,2021-2022
Orlando Magic,1610612753,82,22,60,0.268,3956.0,101.8,110.3,-8.5,101.5,17.4,0.198,0.772,0.484,0.142,1,29,29,29,13,30,19,28,20,30,12,26,24,11,2021-2022
Detroit Pistons,1610612765,82,23,59,0.28,3956.0,103.3,111.1,-7.9,100.9,17.1,0.234,0.756,0.482,0.14,1,28,28,28,13,28,24,26,24,13,23,29,19,12,2021-2022
Oklahoma City Thunder,1610612760,82,24,58,0.293,3961.0,102.2,110.2,-8.0,100.8,16.4,0.218,0.761,0.485,0.138,1,27,27,27,8,29,17,27,28,21,20,25,17,13,2021-2022
Golden State Warriors,1610612744,82,53,29,0.646,3946.0,110.5,103.9,6.5,100.7,19.5,0.228,0.787,0.516,0.148,1,3,3,3,24,15,1,3,3,18,2,4,29,14,2021-2022
Portland Trail Blazers,1610612757,82,27,55,0.329,3946.0,105.5,114.0,-8.5,100.6,17.0,0.229,0.769,0.489,0.144,1,25,25,25,24,26,29,28,26,17,15,21,26,15,2021-2022
Indiana Pacers,1610612754,82,25,57,0.305,3976.0,109.2,113.9,-4.6,100.5,18.1,0.255,0.762,0.504,0.141,1,26,26,26,3,19,28,24,11,4,19,13,23,16,2021-2022
Chicago Bulls,1610612741,82,46,36,0.561,3946.0,111.0,111.1,-0.1,100.4,17.8,0.204,0.783,0.495,0.128,1,12,12,12,24,12,23,19,17,28,4,17,7,17,2021-2022
LA Clippers,1610612746,82,42,40,0.512,3956.0,107.7,107.5,0.2,100.2,17.7,0.206,0.744,0.483,0.136,1,18,18,18,13,24,8,18,19,27,30,28,13,18,2021-2022
Atlanta Hawks,1610612737,82,43,39,0.524,3941.0,114.0,112.1,1.9,100.0,18.1,0.23,0.769,0.501,0.119,1,16,16,16,30,1,26,12,14,16,16,15,1,19,2021-2022
Denver Nuggets,1610612743,82,48,34,0.585,3961.0,111.7,110.3,1.4,99.9,20.0,0.219,0.783,0.51,0.144,1,10,10,10,8,6,18,14,1,20,6,9,25,20,2021-2022
New Orleans Pelicans,1610612740,82,36,46,0.439,3951.0,109.0,110.5,-1.5,99.7,18.1,0.269,0.782,0.52,0.14,1,20,20,20,19,20,20,21,13,3,7,3,21,21,2021-2022
Utah Jazz,1610612762,82,49,33,0.598,3946.0,114.0,107.7,6.2,99.5,16.7,0.254,0.783,0.527,0.14,1,9,9,9,24,2,10,4,27,5,5,2,22,22,2021-2022
Washington Wizards,1610612764,82,35,47,0.427,3966.0,108.9,111.7,-2.8,99.3,18.5,0.209,0.769,0.494,0.132,1,21,21,21,7,21,25,22,8,26,14,18,11,23,2021-2022
Boston Celtics,1610612738,82,51,31,0.622,3981.0,112.1,104.0,8.1,99.0,18.2,0.24,0.773,0.513,0.137,1,6,6,6,2,5,2,1,10,8,11,7,14,24,2021-2022
Toronto Raptors,1610612761,82,48,34,0.585,3971.0,109.6,107.9,1.7,98.6,16.1,0.284,0.756,0.507,0.125,1,10,10,10,5,16,11,13,30,2,24,11,3,25,2021-2022
New York Knicks,1610612752,82,37,45,0.451,3956.0,108.0,107.6,0.4,98.4,16.4,0.251,0.788,0.514,0.134,1,19,19,19,13,22,9,17,29,6,1,6,12,26,2021-2022
Cleveland Cavaliers,1610612739,82,44,38,0.537,3946.0,109.4,107.0,2.4,98.4,18.7,0.24,0.765,0.508,0.146,1,14,14,14,24,18,7,10,7,9,18,10,27,26,2021-2022
Philadelphia 76ers,1610612755,82,51,31,0.622,3961.0,111.0,108.3,2.7,98.4,17.9,0.201,0.768,0.489,0.126,1,6,6,6,8,11,12,9,16,29,17,22,4,26,2021-2022
Miami Heat,1610612748,82,53,29,0.646,3971.0,111.2,106.3,4.9,98.2,18.8,0.235,0.78,0.512,0.147,1,3,3,3,5,10,5,6,6,12,9,8,28,29,2021-2022
Dallas Mavericks,1610612742,82,52,30,0.634,3951.0,110.5,106.8,3.7,97.5,17.8,0.213,0.78,0.496,0.128,1,5,5,5,19,14,6,7,18,24,8,16,8,30,2021-2022
